node_id,time_offset
326039,0
3282ec,0
328d0c,0
326543,0
328ccf,0
33da3c,0
3648e1,0
379b89,0
37824b,0
377e5f,0
3765dd,0
33d76b,0
3274f4,-58
3b3b89,0
326710,-57
326572,0
327749,0
339cae,0
32909d,-739
328faf,0
32660e,-21
339bb0,0
32841a,0
