tag_type,tag_id,time_utc,rssi,lat,lon,heading,antenna_angle
radio434mhz,19332A07,2023-08-03 19:50:35.340190Z,-46,38.935570,-74.948192,21.400,0.000
radio434mhz,4C34074B,2023-08-03 19:50:36.060701Z,-42,38.935570,-74.948192,21.780,0.000
radio434mhz,072A6633,2023-08-03 19:50:36.601064Z,-25,38.935570,-74.948192,21.990,0.000
radio434mhz,19332A07,2023-08-03 19:50:45.510621Z,-48,38.935575,-74.948194,55.256,0.000
radio434mhz,4C34074B,2023-08-03 19:50:46.321317Z,-45,38.935575,-74.948194,69.533,0.000
radio434mhz,072A6633,2023-08-03 19:50:47.356396Z,-26,38.935575,-74.948194,69.648,0.000
radio434mhz,19332A07,2023-08-03 19:50:55.726463Z,-49,38.935597,-74.948217,60.168,0.000
radio434mhz,4C34074B,2023-08-03 19:50:56.626531Z,-41,38.935605,-74.948222,59.861,0.000
radio434mhz,072A6633,2023-08-03 19:50:58.111578Z,-26,38.935618,-74.948229,53.349,0.000
radio434mhz,19332A07,2023-08-03 19:51:05.896711Z,-49,38.935668,-74.948248,73.449,0.000
radio434mhz,4C34074B,2023-08-03 19:51:06.886619Z,-41,38.935675,-74.948248,76.657,0.000
radio434mhz,072A6633,2023-08-03 19:51:08.821516Z,-25,38.935690,-74.948252,74.626,0.000
radio434mhz,19332A07,2023-08-03 19:51:16.068439Z,-44,38.935746,-74.948249,85.519,0.000
radio434mhz,4C34074B,2023-08-03 19:51:17.146904Z,-41,38.935755,-74.948247,78.616,0.000
radio434mhz,072A6633,2023-08-03 19:51:19.576849Z,-25,38.935774,-74.948250,75.683,0.000
radio434mhz,19332A07,2023-08-03 19:51:26.236878Z,-45,38.935829,-74.948249,76.359,0.000
radio434mhz,4C34074B,2023-08-03 19:51:27.406978Z,-48,38.935837,-74.948249,69.305,0.000
radio434mhz,072A6633,2023-08-03 19:51:30.377119Z,-25,38.935861,-74.948252,67.026,0.000
radio434mhz,19332A07,2023-08-03 19:51:36.407079Z,-43,38.935899,-74.948247,79.203,0.000
radio434mhz,4C34074B,2023-08-03 19:51:37.667234Z,-42,38.935906,-74.948247,74.918,0.000
radio434mhz,072A6633,2023-08-03 19:51:41.087379Z,-25,38.935935,-74.948247,75.964,0.000
radio434mhz,19332A07,2023-08-03 19:51:46.622367Z,-57,38.935972,-74.948245,66.076,0.000
radio434mhz,4C34074B,2023-08-03 19:51:47.972620Z,-49,38.935979,-74.948245,60.783,0.000
radio434mhz,072A6633,2023-08-03 19:51:51.887507Z,-25,38.936005,-74.948257,67.465,0.000
radio434mhz,19332A07,2023-08-03 19:51:56.792475Z,-48,38.936040,-74.948257,54.898,0.000
radio434mhz,4C34074B,2023-08-03 19:51:58.232640Z,-46,38.936053,-74.948259,35.618,0.000
radio434mhz,072A6633,2023-08-03 19:52:02.597860Z,-25,38.936085,-74.948261,55.669,0.000
radio434mhz,19332A07,2023-08-03 19:52:07.007189Z,-51,38.936115,-74.948267,87.749,0.000
radio434mhz,4C34074B,2023-08-03 19:52:08.492453Z,-47,38.936127,-74.948270,54.393,0.000
radio434mhz,072A6633,2023-08-03 19:52:13.352932Z,-25,38.936169,-74.948274,82.671,0.000
radio434mhz,19332A07,2023-08-03 19:52:17.178077Z,-51,38.936190,-74.948281,72.176,0.000
radio434mhz,4C34074B,2023-08-03 19:52:18.798058Z,-48,38.936197,-74.948282,71.235,0.000
radio434mhz,072A6633,2023-08-03 19:52:24.107294Z,-26,38.936239,-74.948291,70.146,0.000
radio434mhz,19332A07,2023-08-03 19:52:27.349394Z,-42,38.936256,-74.948293,75.088,0.000
radio434mhz,4C34074B,2023-08-03 19:52:29.057714Z,-42,38.936275,-74.948294,77.383,0.000
radio434mhz,072A6633,2023-08-03 19:52:34.863028Z,-25,38.936312,-74.948288,86.241,0.000
radio434mhz,19332A07,2023-08-03 19:52:37.563569Z,-43,38.936324,-74.948265,81.788,0.000
radio434mhz,4C34074B,2023-08-03 19:52:39.363671Z,-43,38.936329,-74.948249,91.115,0.000
radio434mhz,072A6633,2023-08-03 19:52:45.618709Z,-25,38.936347,-74.948196,82.104,0.000
